



Troll-Elgen,1927,Hauk Aabel,actor,
Den farlige leken,1942,Per Aabel,actor,
En herre med bart,1942,Per Aabel,actor,
O. Henry's Full House,1952,Lee Aaker,actor,
In the Dark (VII),2015,Scott Aaker,actor,



Zombthology,2008,Eero Aames,actor,
Kristine Valdresdatter,1930,Kristian Aamodt,actor,
The ABCs of Death,2012,Torgny Gerhard Aanderaa,actor,
Deemonid,2012,Aron Morten Aarna,actor,






Alle tiders kupp,1964,Arne Aas,actor,
Himmel og helvete,1969,Arne Aas,actor,
Kanarifuglen,1973,Arne Aas,actor,
Musikanter,1967,Arne Aas,actor,
Olsenbanden og Data-Harry sprenger verdensbanken,1978,Arne Aas,actor,
Pappa tar gull,1964,Arne Aas,actor,
Vaktpostene,1965,Arne Aas,actor,


My First Romance,2003,Artemio Abad,actor,

Shake Rattle and Roll Fourteen: The Invasion,2012,Dave Ibrahim Abalo,actor,





Paparazzi,2004,Paul Abascal,actor,
Au-u!,1976,Dato Abashidze,actor,


Entrada y Salida,2012,Enrique Abasolo,actor,
Mga kwento ni Lola Basyang,1985,Erwin Abastillas,actor,
Fantozzi contro tutti,1980,Diego Abatantuono,actor,


My Valentine Girls,2011,Roger Abaya,actor,
Al koubla al akhira,1967,Rushdy Abaza,actor,

Frames of Fear,2016,Juurgen Van Abba,actor,


Old Mother Riley's Circus,1941,Hector Abbas,actor,
Clank: Legacy,2016,Hossin Abbas,actor,

Accadde al commissariato,1954,Mario Abbate,actor,

King John,2015,Graham Abbey,actor,


THINK: The Legacy of Think and Grow Rich,2017,Marc Abbink,actor,




The Power of the Whistler,1945,John Abbott,actor,

Totally Baked,2007,Lee Abbott,actor,

All Human Rights for All,2008,Dino Abbrescia,actor,
P.O.E. Pieces of Eldritch (P.O.E. 3),2014,Wayne Abbruscato,actor,
11'09''01 - September 11,2002,Hesham Abd Elkhaleq,actor,
Abuna Messias (Vendetta africana),1939,Abd-el-Uad,actor,
Dam el ghazal,2005,Salah Abdallah,actor,
Mowaten we mokhber we haramy,2001,Salah Abdallah,actor,
Dam el ghazal,2005,Mahmoud Abdel-Moghni,actor,

Rendition,2007,Lasfer Abdelghni,actor,




Moonwalker,1988,Hakeem Abdul-Samad,actor,
